"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-04-13","0.00","0.0","0.0","76","84","71",,,,,,"    1"
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-04-14","0.00","0.0","0.0","78","87","70","    1",,,,,"    1"
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-04-15","0.02","0.0","0.0","70","75","64","    1",,,,,"    1"
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-04-16","0.08","0.0","0.0","66","74","62","    1","    1",,,,"    1"
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-04-17","0.00","0.0","0.0","62","70","53",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-04-18","0.00","0.0","0.0","59","72","51",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-04-19","0.00","0.0","0.0","62","76","51",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-04-20","0.00","0.0","0.0","67","85","50",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-04-21","0.00","0.0","0.0","58","70","47",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-04-22","0.02","0.0","0.0","59","65","53","    1",,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-04-23","0.69","0.0","0.0","69","84","64","    1","    1","    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-04-24","0.00","0.0","0.0","72","90","56",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-04-25","0.00","0.0","0.0","72","88","58",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-04-26","0.00","0.0","0.0","75","87","67",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-04-27","0.00","0.0","0.0","73","77","69","    1",,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-04-28","2.55","0.0","0.0","78","90","67","    1",,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-04-29","0.61","0.0","0.0","73","75","67","    1",,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-04-30","2.01","0.0","0.0","68","74","66","    1",,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-05-01","1.96","0.0","0.0","67","71","65","    1",,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-05-02","0.00","0.0","0.0","72","92","60",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-05-03","0.16","0.0","0.0","80","94","70","    1",,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-05-04","0.00","0.0","0.0","77","85","67","    1",,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-05-05","0.00","0.0","0.0","71","84","59",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-05-06","0.00","0.0","0.0","72","87","60",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-05-07","0.00","0.0","0.0","74","86","60",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-05-08","0.00","0.0","0.0","77","90","69",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-05-09","0.00","0.0","0.0","80","91","75",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-05-10","0.01","0.0","0.0","80","87","69","    1",,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-05-11","0.18","0.0","0.0","72","86","63",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-05-12","0.00","0.0","0.0","66","76","61",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-05-13","0.00","0.0","0.0","66","75","60",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-05-14","0.00","0.0","0.0","70","83","63",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-05-15","0.20","0.0","0.0","72","76","69",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-05-16","0.07","0.0","0.0","74","82","70","    1",,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-05-17","0.00","0.0","0.0","76","85","74",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-05-18","0.19","0.0","0.0","76","84","67","    1",,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-05-19","0.01","0.0","0.0","68","75","62",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-05-20","0.00","0.0","0.0","70","85","59",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-05-21","0.00","0.0","0.0","75","86","66",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-05-22","0.42","0.0","0.0","76","81","72","    1",,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-05-23","0.30","0.0","0.0","74","78","71","    1",,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-05-24","0.93","0.0","0.0","75","84","71","    1",,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-05-25","0.10","0.0","0.0","78","89","74","    1",,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-05-26","0.00","0.0","0.0","79","88","73",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-05-27","0.00","0.0","0.0","80","89","73",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-05-28","1.29","0.0","0.0","80","88","63","    1",,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-05-29","0.28","0.0","0.0","73","83","66","    1",,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-05-30","0.02","0.0","0.0","76","84","70","    1",,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-05-31","0.02","0.0","0.0","77","85","72",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-06-01","0.21","0.0","0.0","76","85","69",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-06-02","0.00","0.0","0.0","77","86","69",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-06-03","1.04","0.0","0.0","71","76","66","    1",,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-06-04","0.00","0.0","0.0","72","82","66","    1",,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-06-05","0.38","0.0","0.0","74","84","66","    1",,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-06-06","0.00","0.0","0.0","76","88","69","    1",,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-06-07","0.00","0.0","0.0","81","90","77","    1",,,,,"    1"
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-06-08","0.00","0.0","0.0","82","90","77","    1",,,,,"    1"
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-06-09","0.00","0.0","0.0","82","90","76",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-06-10","0.00","0.0","0.0","82","90","75",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-06-11","0.00","0.0","0.0","83","90","76",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-06-12","0.00","0.0","0.0","83","92","75",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-06-13","0.00","0.0","0.0","84","95","75",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-06-14","0.00","0.0","0.0","86","96","76",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-06-15","0.18","0.0","0.0","84","95","73",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-06-16","0.00","0.0","0.0","82","93","71",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-06-17","0.00","0.0","0.0","84","94","73",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-06-18","0.00","0.0","0.0","84","92","76",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-06-19","0.00","0.0","0.0","82","92","69",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-06-20","0.00","0.0","0.0","83","92","77",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-06-21","0.00","0.0","0.0","84","93","80",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-06-22","0.04","0.0","0.0","83","90","75","    1",,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-06-23","0.00","0.0","0.0","84","94","78",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-06-24","0.00","0.0","0.0","85","95","78",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-06-25","0.00","0.0","0.0","84","94","77",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-06-26","0.00","0.0","0.0","85","95","77",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-06-27","0.01","0.0","0.0","81","88","74",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-06-28","0.00","0.0","0.0","79","90","74",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-06-29","0.57","0.0","0.0","77","87","73",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-06-30","0.01","0.0","0.0","79","91","74",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-07-01","0.00","0.0","0.0","82","93","75",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-07-02","0.00","0.0","0.0","84","93","75",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-07-03","0.17","0.0","0.0","84","95","76",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-07-04","0.05","0.0","0.0","80","92","76","    1",,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-07-05","0.32","0.0","0.0","80","91","75","    1",,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-07-06","0.84","0.0","0.0","77","84","74","    1",,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-07-07","0.01","0.0","0.0","77","84","73","    1",,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-07-08","0.02","0.0","0.0","78","86","74","    1",,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-07-09","1.16","0.0","0.0","76","79","73","    1",,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-07-10","0.12","0.0","0.0","77","85","73","    1",,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-07-11","0.00","0.0","0.0","80","89","74","    1",,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-07-12","0.00","0.0","0.0","82","90","74",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-07-13","0.00","0.0","0.0","78","89","73",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-07-14","0.10","0.0","0.0","79","89","72","    1",,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-07-15","0.00","0.0","0.0","79","90","74",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-07-16","0.00","0.0","0.0","82","90","75",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-07-17","0.00","0.0","0.0","82","91","77",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-07-18","0.00","0.0","0.0","83","92","75",,,,,,
