latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
36.91839,-97.25101,309.24,1,1,2022-04-01,1715,T,65,6.1NRT,293.55,6.28,D
36.70085,-95.90551,307.44,1.05,1.02,2022-04-01,1715,T,61,6.1NRT,294.02,4.66,D
36.69899,-95.894,309.37,1.05,1.02,2022-04-01,1715,T,65,6.1NRT,293.58,5.96,D
36.67596,-95.91747,322.55,1.05,1.02,2022-04-01,1715,T,80,6.1NRT,293.88,18.82,D
36.67413,-95.90594,313.82,1.05,1.02,2022-04-01,1715,T,72,6.1NRT,294.07,10.28,D
36.70832,-96.89896,311.15,1.01,1,2022-04-01,1715,T,59,6.1NRT,291.35,7.21,D
36.70663,-96.88787,307.27,1.01,1,2022-04-01,1715,T,55,6.1NRT,295.07,4.39,D
36.69096,-96.84549,308.6,1.01,1,2022-04-01,1715,T,63,6.1NRT,294.95,4.78,D
36.59138,-96.92026,344.77,1.01,1,2022-04-01,1715,T,0,6.1NRT,298.26,46.5,D
36.58969,-96.90916,346.96,1.01,1,2022-04-01,1715,T,0,6.1NRT,296.31,51.43,D
36.58123,-96.85368,311.19,1.01,1,2022-04-01,1715,T,44,6.1NRT,296.06,5.34,D
36.58585,-96.94448,325.95,1.01,1,2022-04-01,1715,T,0,6.1NRT,297.05,18.73,D
36.58416,-96.9334,349.56,1.01,1,2022-04-01,1715,T,83,6.1NRT,299.14,56.4,D
36.58247,-96.92233,338.48,1.01,1,2022-04-01,1715,T,85,6.1NRT,299.51,35.18,D
36.58078,-96.91124,356.51,1.01,1,2022-04-01,1715,T,85,6.1NRT,300.3,72.33,D
36.57231,-96.85575,321.11,1.01,1,2022-04-01,1715,T,79,6.1NRT,296.49,14.43,D
36.57525,-96.93546,311.28,1.01,1,2022-04-01,1715,T,68,6.1NRT,297.01,5.71,D
36.57018,-96.90217,311.1,1.01,1,2022-04-01,1715,T,0,6.1NRT,298.43,5.96,D
36.07664,-95.82433,305.39,1.07,1.03,2022-04-01,1715,T,48,6.1NRT,292.12,2.48,D
35.83465,-96.45284,310.89,1.03,1.02,2022-04-01,1715,T,66,6.1NRT,295.52,6.61,D
35.82564,-96.45494,313,1.03,1.02,2022-04-01,1715,T,70,6.1NRT,295.7,8.49,D
35.77159,-96.4676,307.51,1.03,1.02,2022-04-01,1717,T,59,6.1NRT,295.55,4.37,D
35.69444,-96.2696,306.3,1.05,1.02,2022-04-01,1717,T,56,6.1NRT,294.97,4.42,D
34.9729,-92.36504,311.07,1.62,1.25,2022-04-01,1717,T,67,6.1NRT,291.48,19.11,D
35.36687,-94.73294,315.76,1.19,1.09,2022-04-01,1717,T,57,6.1NRT,292.98,16.08,D
34.83206,-95.64465,313.77,1.11,1.05,2022-04-01,1717,T,72,6.1NRT,294.41,11.23,D
